Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
5665,-6.6523776,106.8544907,464.475,19.518,19.45,1573087259965000,154,3
5720,-6.652386,106.8544957,464.498,19.511,19.54,1573087260020000,154,3
5775,-6.6523945,106.8545006,464.489,19.614,19.53,1573087260075000,154,3
5830,-6.6524029,106.8545058,464.61,19.58,19.63,1573087260130000,154,3
5885,-6.6524114,106.8545107,464.606,19.6,19.6,1573087260185000,154,3
5940,-6.65242,106.8545157,464.637,19.651,19.62,1573087260240000,154,3
5995,-6.6524285,106.8545207,464.693,19.705,19.67,1573087260295000,175,3
6049,-6.6524369,106.8545258,464.768,19.722,19.72,1573087260349000,175,3
6104,-6.6524454,106.8545309,464.841,19.741,19.74,1573087260404000,175,3
6159,-6.6524538,106.854536,464.879,19.756,19.76,1573087260459000,175,3
6214,-6.6524622,106.854541,464.934,19.696,19.77,1573087260514000,175,3
6269,-6.6524706,106.8545462,464.993,19.728,19.71,1573087260569000,175,3
6324,-6.652479,106.8545512,465.061,19.694,19.75,1573087260624000,175,3
6379,-6.6524873,106.8545563,465.08,19.648,19.71,1573087260679000,175,3
6434,-6.6524956,106.8545617,465.179,19.708,19.67,1573087260734000,175,3
6489,-6.652504,106.8545667,465.23,19.721,19.73,1573087260789000,175,3
6544,-6.6525124,106.8545719,465.299,19.694,19.74,1573087260844000,175,3
6600,-6.6525208,106.8545771,465.386,19.724,19.71,1573087260900000,175,3
6654,-6.6525293,106.8545821,465.458,19.695,19.74,1573087260954000,175,3
6709,-6.6525378,106.8545873,465.555,19.73,19.72,1573087261009000,175,3
6764,-6.6525462,106.8545925,465.646,19.711,19.75,1573087261064000,175,3
6820,-6.6525546,106.8545978,465.724,19.81,19.73,1573087261120000,175,3
6874,-6.6525631,106.854603,465.794,19.775,19.83,1573087261174000,175,3
6929,-6.6525717,106.8546079,465.85,19.746,19.8,1573087261229000,175,3
6984,-6.6525803,106.8546129,465.924,19.768,19.77,1573087261284000,175,3
7040,-6.6525889,106.854618,465.996,19.734,19.79,1573087261340000,145,3
7095,-6.6525975,106.8546229,466.055,19.723,19.75,1573087261395000,145,3
7150,-6.6526061,106.8546279,466.137,19.755,19.74,1573087261450000,145,3
7205,-6.6526146,106.854633,466.2,19.714,19.78,1573087261505000,145,3
7260,-6.6526233,106.854638,466.318,19.754,19.74,1573087261560000,145,3
7315,-6.6526319,106.8546431,466.402,19.773,19.78,1573087261615000,145,3
7370,-6.6526405,106.854648,466.479,19.63,19.79,1573087261670000,145,3
7425,-6.652649,106.8546529,466.572,19.589,19.65,1573087261725000,145,3
7480,-6.6526576,106.854658,466.66,19.692,19.61,1573087261780000,145,3
7535,-6.6526663,106.854663,466.78,19.719,19.72,1573087261835000,145,3
7590,-6.6526749,106.854668,466.839,19.781,19.74,1573087261890000,145,3
7645,-6.6526833,106.8546731,466.932,19.769,19.81,1573087261945000,145,3
7700,-6.6526916,106.854678,466.928,19.723,19.79,1573087262000000,145,3
7755,-6.6527,106.8546831,466.992,19.78,19.75,1573087262055000,145,3
7810,-6.6527084,106.8546881,467.028,19.831,19.8,1573087262110000,145,3
7865,-6.652717,106.8546929,467.06,19.83,19.86,1573087262165000,145,3
7920,-6.6527253,106.8546981,467.117,19.772,19.85,1573087262220000,145,3
7975,-6.6527337,106.8547032,467.182,19.734,19.8,1573087262275000,145,3
8030,-6.6527421,106.8547083,467.242,19.782,19.76,1573087262330000,157,3
8085,-6.6527504,106.8547132,467.258,19.743,19.81,1573087262385000,157,3
8140,-6.6527588,106.8547183,467.287,19.761,19.77,1573087262440000,157,3
8195,-6.6527672,106.8547233,467.329,19.766,19.79,1573087262495000,157,3
